text,drug,topic,sentiment,strength,issues
"Why do you think that FIngolimod was such a miserable failure in progressive MS trial in humans (not animals) that was aborted by Biogen? If it is in fact stimulating neuronal gene expression, axon growth and regeneration, which is what you want in progressive patients, why do human trials fail?",fingolimod,Multiple Sclerosis Treatment Options,NEGATIVE,0.8,Fingolimod failed in progressive MS trial in humans
"Lemtrada is for any form of MS with relapses. Reversal of current damage is seen in anyone with natural neuronal reserve. Reversal becomes evident because the disease progression is finally halted and even small reversals become evident for the first time in a long time. It should definitely be on the table. IMO Just an FYI, Cladribine did not complete safety testing which is required by the FDA and EMA that gives long term data of significant SEs like thyroid disorders and cancers that may be produced by a DMT during extended tests. Short term tests were very positive but unfortunately not enough for drug approval. Cladribine patent protection was apparently only for a few more years so the costs to conduct the phase III testing could not be justified. The Pharma that developed Cladribine decided to pull the plug instead of funding the required tests.",cladribine,Multiple Sclerosis Treatment Options,NEUTRAL,0.6,"Cladribine did not complete safety testing which is required by the FDA and EMA that gives long term data of significant SEs like thyroid disorders and cancers that may be produced by a DMT during extended tests.,Short term tests were very positive but unfortunately not enough for drug approval."
"I wonder if anyone has ever combined two biologics? Humira and Stelara for example.... Can't find any data on that notion. I guess it requires the cooperation of competing company's products, so is unlikely to be tested.",stelara,Antibody Treatments and Their Side Effects,NEUTRAL,0.6,Combination of biologics (Humira and Stelara)
"I was diagnosed with stage 4 adeno lung cancer in 2009. I had 15 hits of radiation to the tumor in my right lung, then started on Carbo, Taxol and Avastin followed by six cycles of Gemzar for two nodules in my liver. I also had a spot on the apex region of my left lung. In 2010 I was given 150 mg Tarceva and it has worked up until November of last year. I was never tested for mutations in 2009, so my first request when they found a 1.2 cm tumor in my left lung was to do genomic sequencing. I had the biopsy done at Kaiser Hospital and then had my tissue sent to Foundation Medicine. I also had a blood draw and had a liquid biopsy done with Gardant Health. Foundation One report showed none of the standard mutations and only six alterations NTRK1, PIK3CA, ATM, MCL1, TAF1 and TP53. Gardant 360 showed only a EGFR amplification.  I have done some research on NTRK1 and PIK3CA alterations. When I spoke with MD Anderson they said the LOX-101 trial for NTRK1 was getting good results with fusion, but without fusion like me they only had one person in the trail. They mentioned that even if I enrolled in a clinical trial they would probably try me on immunotherapy first. I started on Opdivo at Kaiser and am receiving my second infusion today. I feel I will do well on Opdivo since I was a past smoker. Testing was done on my tissue for PD-L1 expression, but the results are still out. I know good results are coming in with and without expression. I have sought out second opinions and I am hearing  if Opdivo doesnât work my best option would be to focus on the PIK3CA alteration in some type of combo clinical trial. My questions are should I be looking at the PIK3CA alteration as my plan B? If so what would be by best course of treatment? Thank you for your help and support, Don   		This topic was modified 2 years, 1 month ago by  don450sl. 	    		This topic was modified 2 years, 1 month ago by  don450sl.",tarceva,Lung Cancer Diagnosis and Management,POSITIVE,0.7,"lung cancer,liver nodules,left lung tumor,NTRK1 alterations,PIK3CA alterations,Opdivo treatment,PD-L1 expression"
"Here's the latest update. My husband certainly feels like he is in remission with the Xeljanz. No UC symptoms -- for the first time in almost three years. No urgency, no cramping, no bleeding. Able to leave the house for work in the morning no worries. Previously, he had not been able to get below 22.5 mg prednisone without flaring. With the Xeljanz, had tapered down to 2.5 mg but was pretty sick -- not UC symptoms but clearly his adrenal glands haven't kicked in yet. Back up to 5 mg and meeting with doc this week to figure out how to get off the prednisone. No apparent side effects from Xeljanz, either. Hoping this one is the charm but if it is not, going to surgery with no regrets. Spouse diagnosed with UC in 2013. Developed antibodies to remicade, humira. Entyvio did not work after 6 infusions. Only thing that seemed to work was prednisone. Early March 2016 started Xeljanz off label. It is working. No more UC symptoms, but still fearful of foods that triggered symptoms before (like fruits and vegetables). Getting completely off prednisone is the current challenge.",entyvio,Cancer Treatment and Management,NEUTRAL,0.5,"Developed antibodies to remicade, humira.,Entyvio did not work after 6 infusions."
"Hello, I approached the MS Barts health team for off-label cladribine in January this year. I had to go through the usual protocols, brain and spinal cord MRI and a lumbar puncture. In mid May I had a follow up appointment with the MS consultant. I was told that I am not eligible because there are no active lesions on my MRI scans and there was no evidence of inflamation in the lumbar puncture. There needs to be evidence that my MS is active before I am eligible for prescribing off-label cladribine. Yes I was gutted, in fact as he spoke to me I felt as if I had just been thrown onto a scrap heap. Then I thought about things on the journey home and actually I felt quite relieved. If the consultant could see no evidence that my MS is active then actually I am lucky. I might be disabled, I am medically retired, cannot walk unaided and am the proud owner of a Blue Badge but things could be a lot worse. Yup things could be a whole lot worse for me, none the less my MS is progressing. 6 years ago I could walk a few hundred metres without a stick, no chance of that today; I must always use a rollator and even then its not very far on a flat even surface. If I bend down then I fall over and I now suffer from fatigue. Just gotta be positive. Patrick aid4disabled.com",cladribine,Multiple Sclerosis Treatment Options,NEGATIVE,0.7,The author is not eligible for off-label cladribine because there is no evidence of active MS lesions.
"It is highly undestandable that anyone with AMD, be it wet or dry feels depressed. I hope you all have a good retinal consultant. With the wet AMD you will have the Lucentis injections in the eyes, which definitely can help, ( give it time) If this does not help there are the Eleya injections. Please, do not despair, as the advancement in this area are truly ongoing. I personally started off with Nutrof Total which I saw advertised in the eye clinic when my husband had his cataract operation ( which was highly successful). After this I started on the Macushield Gold supplements which are great. If I had listened to,the doctor who,told me I would go blind in 1999 ( which I did) I Went into a deep.depression. Please get a good retinal surgeon, who you can trust,. ( it’s a gut feeling). Do not despair, as there are so much advancement in AMD, especially with the monthly magazine you can get from the AMD, which has helped be a lot. Please get in touch with the AMD on the web,,you’ll get a monthly magazine which has all the information to help you. Please remember there are always advancement in medicine, but we all,have to,help . Thinking of you xxxxxxx",lucentis,Neurological Disorder Treatment Experiences,POSITIVE,0.6,Lucentis injections
"As I post this, the annual conference of the American Society of Clinical Oncologists (ASCO) is drawing to a close. Each year, over 30,000 cancer care specialists converge upon Chicago to learn about the latest advances in cancer treatment. It’s the largest conference of its kind in the world, and with such a large audience, many researchers take the opportunity to unveil the results of their clinical trials and other research. Dr. West and other GRACE faculty members are in attendance, and in a few weeks we will have presentations on the most important information presented at ASCO. If you tend to come straight to these forums rather than the GRACE home page, you may have missed Dr. West’s list of his “Top 10 ASCO 2017 Lung Cancer Presentations” which provides an idea of what we’ll be discussing soon. JimC Forum moderator   Jul 2008 Wife Liz (51/never smoker) Dx Stage IV NSCLC EGFR exon 19 4 cycles Carbo/alimta, 65% shrinkage Tarceva maintenance Mar 2010 progression, added Alimta, stable Sep 2010 multiple brain mets, WBR Oct 2010 large pericardial effusion, tamponade Jan 2011 progression, start abraxane Jun 2011-New liver, brain mets, add Tarceva Oct 2011-Dx Leptomeningeal carcinomatosis; pulsed Tarceva At rest Nov 4 2011 Since then: http://cancergrace.org/blog/jim-and-lisa    		This topic was modified 10 months ago by  JimC Forum Moderator. 	    		This topic was modified 10 months ago by  JimC Forum Moderator.",alimta,Cancer Treatment and Management,NEGATIVE,0.8,"Progression,Multiple brain mets,Pericardial effusion,Tamponade,Leptomeningeal carcinomatosis"
"@barryb I am also SPMS with relapses and my neuro has recently offered me lemtrada. I am worried about all the possible side effects and so decided to pursue cladribine with the support of my GP. Unfortunately the waiting list to see Dr Schmierer is now at least 5 months for MS patient referrals and the waiting list is becoming longer for cladribine consideration. My MS is very active and I keep being told ‘ time is brain’. I could access lemtrada fairly soon, so it’s difficult to know what to do, especially as I don’t know whether I would be accepted for cladribine or not.",cladribine,Multiple Sclerosis Treatment Options,NEGATIVE,0.7,"Worried about side effects,Long waiting list to see Dr Schmierer,Long waiting list for cladribine consideration,MS is very active"
"Thanks for posting :) Your post is of great insight and very helpfull I am also worried because my cd4+ are coming back 129 Cells/ul , 1/2 months after hsct ""Btw I have to own I don't know what mitigation inhibitors are"" I think Md is refering to does Dmts that trap lymphocytes in the lymph nodes (Fingolimod,natalizumab) Ps: correct if i am wrong :) Obrigado Luis",fingolimod,Medication Switching and Side Effects,NEUTRAL,0.5,"I don't know what mitigation inhibitors are,Md is refering to does Dmts that trap lymphocytes in the lymph nodes (Fingolimod,natalizumab)"
